Scientific Name,Common Names,Category
Vaccinium elliottii,Elliott's Blueberry,Vascular Plant
Vaccinium formosum,Southern Blueberry,Vascular Plant
Vaccinium fuscatum,Black Highbush Blueberry,Vascular Plant
Vaccinium stamineum,Deerberry,Vascular Plant
Vaccinium tenellum,"Small Black Blueberry, Southern Blueberry",Vascular Plant
Vaccinium virgatum,Smallflower Blueberry,Vascular Plant
Phlox carolina,Thick-Leaved Phlox,Vascular Plant
Phlox glaberrima,Smooth Phlox,Vascular Plant
Sideroxylon lycioides,Buckthorn,Vascular Plant
Halesia carolina,"Carolina Silverbell, Silverbell",Vascular Plant
Styrax americana,American Snowbell,Vascular Plant
Symplocos tinctoria,Horse-Sugar,Vascular Plant
Baptisia alba,"White False Indigo, White Wild Indigo",Vascular Plant
Baptisia albescens,Spiked Wild Indigo,Vascular Plant
Baptisia tinctoria,"Horseflyweed, Yellow Wild Indigo",Vascular Plant
Cassia fasciculata,"Partridge Pea, Showy Partridgepea, Sleepingplant",Vascular Plant
Centrosema virginianum,"Butterflypea, Spurred Butterfly Pea",Vascular Plant
Chamaecrista fasciculata var. fasciculata,"Partridge Pea, Sleepingplant",Vascular Plant
Chamaecrista nictitans,"Partridge Pea, Partridge-Pea, Sensitive Partridge Pea, Sensitive Plant",Vascular Plant
Clitoria mariana,"Atlantic Pigeonwings, Butterfly-Pea, Pigeonwings",Vascular Plant
Crotalaria spectabilis,Showy Rattle-Box,Vascular Plant
Desmodium,"Tick Trefoil, Tickclover, Ticktrefoil",Vascular Plant
Desmodium ciliare,"Hairy Small-Leaf Ticktrefoil, Littleleaf Tickclover",Vascular Plant
Desmodium fernaldii,Fernald's Ticktrefoil,Vascular Plant
Desmodium nudiflorum,"Barestem Tickclover, Bare-Stemmed Tick-Treefoil, Nakedflower Ticktrefoil",Vascular Plant
Desmodium obtusum,"Stiff Tickclover, Stiff Ticktrefoil",Vascular Plant
Desmodium pauciflorum,"Fewflower Ticktrefoil, Fewflowered Tickclover",Vascular Plant
Desmodium rotundifolium,Roundhead Tickclover,Vascular Plant
Desmodium sessilifolium,"Sessile Tickclover, Sessileleaf Tickclover, Sessileleaf Ticktrefoil",Vascular Plant
Desmodium tenuifolium,Slimleaf Ticktrefoil,Vascular Plant
Galactia volubilis,Downy Milkpea,Vascular Plant
Gleditsia aquatica,"Swamp-Locust, Water Honeylocust, Water Locust, Waterlocust",Vascular Plant
Glottidium vesicarium,Bagpod Rattlebush,Vascular Plant
Glycine max,"Reseeding Soybean, Soybean, Wild Soybean",Vascular Plant
Kummerowia striata,Japanese Clover,Vascular Plant
Lespedeza capitata,Roundhead Lespedeza,Vascular Plant
Lespedeza cuneata,"Chinese Lespedeza, Sericea Lespedeza",Vascular Plant
Psoralea psoralioides,None,Vascular Plant
Pueraria montana,Kudzu,Vascular Plant
Rhynchosia reniformis,Dollarleaf,Vascular Plant
Senna obtusifolia,"Java-Bean, Sicklepod",Vascular Plant
Stylosanthes biflora,"Endbeak Pencilflower, Sidebeak Pencilflower",Vascular Plant
Tephrosia spicata,Spiked Hoarypea,Vascular Plant
Tephrosia virginiana,Virginia Tephrosia,Vascular Plant
Trifolium vesiculosum,Arrowleaf Clover,Vascular Plant
Vicia,Vetch,Vascular Plant
Vicia angustifolia,Garden Vetch,Vascular Plant
Wisteria frutescens,American Wisteria,Vascular Plant
Polygala incarnata,Procession Flower,Vascular Plant
Polygala mariana,Milkwort,Vascular Plant
Polygala polygama,"Bitter Milkwort, Racemed Milkwort",Vascular Plant
Alnus serrulata,"Brook-Side Alder, Hazel Alder",Vascular Plant
Betula nigra,River Birch,Vascular Plant
Carpinus caroliniana,American Hornbeam,Vascular Plant
Quercus acutissima,Sawtooth Oak,Vascular Plant
Quercus alba,White Oak,Vascular Plant
Quercus falcata,Southern Red Oak,Vascular Plant
Quercus falcata var. pagodifolia,None,Vascular Plant
Quercus laurifolia,Laurel-Leaf Oak,Vascular Plant
Quercus lyrata,Overcup Oak,Vascular Plant
Quercus margarettiae,"Runner Oak, Sand Post Oak",Vascular Plant
Quercus marilandica,Blackjack Oak,Vascular Plant
Quercus michauxii,Swamp Chestnut Oak,Vascular Plant
Quercus nigra,Water Oak,Vascular Plant
Quercus pagoda,"Cherrybark Oak, Texas Oak",Vascular Plant
Quercus phellos,Willow Oak,Vascular Plant
Quercus prinus,None,Vascular Plant
Quercus shumardii,Shumard's Oak,Vascular Plant
Quercus stellata,Post Oak,Vascular Plant
Quercus velutina,Black Oak,Vascular Plant
Carya alba,Mockernut Hickory,Vascular Plant
Carya aquatica,Water Hickory,Vascular Plant
Carya cordiformis,Bitter-Nut Hickory,Vascular Plant
Carya glabra,Sweet Pignut Hickory,Vascular Plant
Carya ovata,Shag-Bark Hickory,Vascular Plant
Morella caroliniensis,"Evergreen Bayberry, Southern Bayberry",Vascular Plant
Morella cerifera,"Wax Myrtle, Waxmyrtle",Vascular Plant
Asclepias tuberosa,Butterfly Weed,Vascular Plant
Matelea carolinensis,Carolina Angelpod,Vascular Plant
Matelea gonocarpos,Angularfruit Milkvine,Vascular Plant
Matelea suberosa,None,Vascular Plant
Trachelospermum difforme,Climbing Dogbane,Vascular Plant
Gelsemium sempervirens,Yellow Jessamine,Vascular Plant
Sabatia angularis,"Rosepink, Squarestem Rosegentian",Vascular Plant
Mitreola sessilifolia,Swamp Hornpod,Vascular Plant
Spigelia marilandica,"Indianpink, Woodland Pinkroot",Vascular Plant
Diodia teres,"Poor Joe, Poorjoe, Rough Buttonweed",Vascular Plant
Diodia virginiana,Larger Button-Weed,Vascular Plant
Galium circaezans,Wild Licorice,Vascular Plant
Galium obtusum,"Bluntleaf Bedstraw, Bristly Bedstraw",Vascular Plant
Galium obtusum var. obtusum,Large Marsh Bedstraw,Vascular Plant
Galium pilosum,Hairy Bedstraw,Vascular Plant
Gardenia,None,Vascular Plant
Geranium maculatum,"Spotted Crane's-Bill, Spotted Geranium, Wild Crane's-Bill",Vascular Plant
Dicliptera brachiata,Wild Mudwort,Vascular Plant
Dyschoriste humistrata,Swamp Dyschoriste,Vascular Plant
Justicia ovata,Ovate Water-Willow,Vascular Plant
Ruellia caroliniensis,Carolina Petunia,Vascular Plant
Bignonia capreolata,Crossvine,Vascular Plant
Campsis radicans,Trumpet-Creeper,Vascular Plant
Callicarpa americana,French Mulberry,Vascular Plant
Clinopodium georgianum,Georgia Calamint,Vascular Plant
Collinsonia canadensis,Richweed,Vascular Plant
Collinsonia serotina,Blue Ridge Horsebalm,Vascular Plant
Glecoma hederacea,None,Vascular Plant
Hyptis alata,Clustered Bushmint,Vascular Plant
Lamium purpureum,"Purple Deadnettle, Red Deadnettle",Vascular Plant
Lycopus rubellus,"Taperleaf Bugleweed, Taperleaf Water Horehound",Vascular Plant
Macbridea caroliniana,Carolina Birds-In-A-Nest,Vascular Plant
Perilla frutescens,Beef-Steak Plant,Vascular Plant
Pycnanthemum flexuosum,Appalachian Mountainmint,Vascular Plant
Pycnanthemum tenuifolium,Common Horse Mint,Vascular Plant
Salvia lyrata,Lyreleaf Sage,Vascular Plant
Scutellaria elliptica,Hairy Skullcap,Vascular Plant
Scutellaria integrifolia,Helmet Flower,Vascular Plant
Stachys,"Hedge Nettle, Hedgenettle",Vascular Plant
Stachys aspera,Hyssopleaf Hedgenettle,Vascular Plant
Stachys crenata,"Mousesear, Mouse's-Ear",Vascular Plant
Stachys floridana,"Florida Betony, Florida Hedgenettle",Vascular Plant
Stachys hyssopifolia,Hyssopleaf Hedgenettle,Vascular Plant
Lindernia dubia var. anagallidea,"False Pimpernel, Yellowseed False Pimpernel, Yellow-Seed False Pimpernel",Vascular Plant
Lindernia dubia var. dubia,"Yellowseed False Pimpernel, Yellow-Seed False Pimpernel",Vascular Plant
Chionanthus virginicus,"Fringe Tree, White Fringe-Tree",Vascular Plant
Forestiera acuminata,"Eastern Swampprivet, Swamp Privet, Texas Forestiera",Vascular Plant
Fraxinus caroliniana,Carolina Ash,Vascular Plant
Fraxinus pennsylvanica var. subintegerrima,Green Ash,Vascular Plant
Ligustrum japonicum,Japanese Privet,Vascular Plant
Ligustrum sinense,"Chinese Privet, Common Chinese Privet",Vascular Plant
Agalinis fasciculata,Beach False Foxglove,Vascular Plant
Agalinis obtusifolia,Tenlobe False Foxglove,Vascular Plant
Agalinis tenuifolia,"Slenderleaf False Foxglove, Slender-Leaf False Foxglove",Vascular Plant
Aureolaria pectinata,Combleaf Yellow False Foxglove,Vascular Plant
Conopholis americana,"American Cancer-Root, American Squawroot, Squaw-Root",Vascular Plant
Seymeria cassioides,Yaupon Blacksenna,Vascular Plant
Mazus pumilus,Japanese Mazus,Vascular Plant
Mimulus alatus,Sharpwing Monkeyflower,Vascular Plant
Mimulus ringens,"Allegheny Monkeyflower, Allegheny Monkey-Flower",Vascular Plant
Gratiola virginiana,"Roundfruit Hedgehyssop, Virginia Hedgehyssop",Vascular Plant
Mecardonia acuminata,Purple Mecardonia,Vascular Plant
Penstemon australis,Beard-Tongue,Vascular Plant
Glandularia pulchella,South American Mock Vervain,Vascular Plant
Verbena bonariensis,South American Vervain,Vascular Plant
Verbena urticifolia,"White Verbena, White Vervain",Vascular Plant
Calycanthus floridus,Sweet-Shrub,Vascular Plant
Lindera benzoin,"Northern Spicebush, Spicebush",Vascular Plant
Persea borbonia,Redbay,Vascular Plant
Persea palustris,Swamp Bay,Vascular Plant
Sassafras albidum,Sassafras,Vascular Plant
Amianthium muscitoxicum,Flypoison,Vascular Plant
Chamaelirium luteum,Fairywand,Vascular Plant
Smilax,"Catbrier, Common Greenbriar, Greenbriar, Greenbrier, Sarsaparilla",Vascular Plant
Smilax bona-nox,Saw Greenbrier,Vascular Plant
Smilax glauca,Glaucous-Leaved Greenbrier,Vascular Plant
Smilax hugeri,Huger's Carrionflower,Vascular Plant
Smilax laurifolia,Laurel-Leaf Greenbrier,Vascular Plant
Smilax pumila,Sarsparilla Vine,Vascular Plant
Smilax rotundifolia,"Bullbriar, Common Catbriar, Common Greenbrier, Greenbrier, Horsebriar, Roundleaf Greenbriar, Roundleaf Greenbrier",Vascular Plant
Smilax smallii,"Lanceleaf Greenbrier, Small Greenbrier",Vascular Plant
Smilax tamnoides,Bristly Greenbrier,Vascular Plant
Smilax walteri,Walter Greenbrier,Vascular Plant
Asimina parviflora,Smallflower Pawpaw,Vascular Plant
Asimina triloba,Pawpaw,Vascular Plant
Liriodendron tulipifera,"Bois-Jaune, Tulip Poplar, Tulip-Poplar, Tuliptree, Yellow Poplar, Yellow-Poplar",Vascular Plant
Magnolia virginiana,Sweetbay Magnolia,Vascular Plant
Acalypha gracilens,"Slender Copperleaf, Slender Threeseed Mercury",Vascular Plant
Acalypha rhomboidea,"Common Threeseed Mercury, Virginia Threeseed Mercury",Vascular Plant
Cnidoscolus stimulosus,Finger Rot,Vascular Plant
Euphorbia corollata,"Flowering Spurge, Floweringspurge Euphorbia",Vascular Plant
Tragia urens,Wavyleaf Noseburn,Vascular Plant
Vernicia fordii,Tungoil Tree,Vascular Plant
Hypericum crux-andreae,"Atlantic St. Peter's-Wort, St. Peterswort",Vascular Plant
Hypericum gymnanthum,Claspingleaf St. Johnswort,Vascular Plant
Hypericum hypericoides,St. Andrew's Cross,Vascular Plant
Triadenum walteri,Greater Marsh St. Johnswort,Vascular Plant
Linum medium var. texanum,"Stiff Yellow Flax, Sucker Flas",Vascular Plant
Linum striatum,"Ridged Yellow Flax, Rigid Flax",Vascular Plant
Passiflora incarnata,Purple Passionflower,Vascular Plant
Passiflora lutea,"Passionflower, Yellow Passionflower",Vascular Plant
Populus heterophylla,Swamp Cottonwood,Vascular Plant
Salix,Willow,Vascular Plant
Salix caroliniana,Coastal Plain Willow,Vascular Plant
Viola,Violet,Vascular Plant
Viola affinis,Lecontes Violet,Vascular Plant
Viola palmata,"Early Blue Violet, Three-Lobe Violet, Trilobed Violet, Wood Violet",Vascular Plant
Viola septemloba,Southern Coastal Violet,Vascular Plant
Viola X primulifolia,None,Vascular Plant
Lechea mucronata,Hairy Pinweed,Vascular Plant
Lechea pulchella,Leggett's Pinweed,Vascular Plant
Lechea torreyi,Piedmont Pinweed,Vascular Plant
Hibiscus,Rosemallow,Vascular Plant
Hibiscus moscheutos,"Crimsoneyed Rosemallow, Swamp Rosemallow",Vascular Plant
Modiola caroliniana,"Carolina Bristlemallow, Carolina Modiola",Vascular Plant
Tilia americana var. heterophylla,American Basswood,Vascular Plant
Tilia heterophylla,None,Vascular Plant
Cuphea carthagenensis,Colombian Waxweed,Vascular Plant
Lagerstroemia indica,Crapemyrtle,Vascular Plant
Rhexia mariana,Maryland Meadowbeauty,Vascular Plant
Rhexia mariana var. mariana,Maryland Meadowbeauty,Vascular Plant
Rhexia mariana var. ventricosa,Maryland Meadowbeauty,Vascular Plant
Rhexia nashii,Maid Marian,Vascular Plant
Ludwigia,"Primrose-Willow, Seedbox",Vascular Plant
Ludwigia alata,Winged Primrose-Willow,Vascular Plant
Ludwigia alternifolia,"Bushy Seedbox, Seedbox",Vascular Plant
Ludwigia decurrens,"Wingleaf Primrose-Willow, Wingleaf Waterprimrose",Vascular Plant
Ludwigia glandulosa,Cylindric-Fruited Seedbox,Vascular Plant
Ludwigia leptocarpa,River Seedbox,Vascular Plant
Ludwigia pilosa,"Hairy Primrosewillow, Hairy Primrose-Willow",Vascular Plant
Ludwigia uruguayensis,Uruguay Seedbox,Vascular Plant
Oenothera fruticosa ssp. glauca,"Narrowleaf Evening Primrose, Narrowleaf Evening-Primrose, Shrubby Sundrops",Vascular Plant
Botrychium biternatum,"Southern Grapefern, Sparselobe Grapefern, Sparse-Lobed Grapefern",Vascular Plant
Botrychium lunarioides,Winter Grape-Fern,Vascular Plant
Ophioglossum crotalophoroides,"Bulbous Adderstongue, Bulbous Adder's-Tongue",Vascular Plant
Ophioglossum vulgatum,"Southern Adderstongue, Southern Adder's-Tongue",Vascular Plant
Osmunda regalis,Royal Fern,Vascular Plant
Taxodium ascendens,"Pond Cypress, Pondcypress",Vascular Plant
Taxodium distichum,"Bald Cypress, Baldcypress",Vascular Plant
Pinus echinata,"Arkansas Pine, Shortleaf Pine, Shortleaf Yellow Pine, Shortstraw Pine, Southern Yellow Pine, Yellow Pine",Vascular Plant
Pinus palustris,Longleaf Pine,Vascular Plant
Pinus taeda,Loblolly Pine,Vascular Plant
Podocarpus,Plum Pine,Vascular Plant
Aristolochia serpentaria,Virginia Snakeroot,Vascular Plant
Aristolochia tomentosa,"Common Dutchman's Pipe, Woolly Dutchman's Pipe",Vascular Plant
Asarum canadense,Canada Wild-Ginger,Vascular Plant
Hexastylis arifolia,Littlebrownjug,Vascular Plant
Saururus cernuus,Lizard's Tail,Vascular Plant
Carex abscondita,Thicket Sedge,Vascular Plant
Carex alata,Broadwing Sedge,Vascular Plant
Carex albolutescens,Greenwhite Sedge,Vascular Plant
Carex amphibola,"Amphibious Sedge, Eastern Narrowleaf Sedge",Vascular Plant
Carex annectens,Yellowfruit Sedge,Vascular Plant
Carex atlantica ssp. capillacea,"Howe Sedge, Prickly Bog Sedge",Vascular Plant
Carex blanda,"Bland Sedge, Eastern Woodland Sedge, Woodland Sedge",Vascular Plant
Carex bromoides,"Bromelike Sedge, Brome-Like Sedge",Vascular Plant
Carex caroliniana,Carolina Sedge,Vascular Plant
Carex cephalophora,"Ovalleaf Sedge, Oval-Leaf Sedge, Oval-Leaved Sedge",Vascular Plant
Carex cherokeensis,Cherokee Sedge,Vascular Plant
Carex comosa,Longhair Sedge,Vascular Plant
Carex complanata,"Blue Sedge, Hirsute Sedge",Vascular Plant
Carex crebriflora,"Coastal Plain Sedge, Coastalplain Sedge",Vascular Plant
Carex crus-corvi,Ravenfoot Sedge,Vascular Plant
Carex debilis,White Edge Sedge,Vascular Plant
Carex digitalis,"Slender Wood Sedge, Slender Woodland Sedge",Vascular Plant
Carex elliottii,Elliott's Sedge,Vascular Plant
Carex festucacea,Fescue Sedge,Vascular Plant
Carex flaccosperma,Thinfruit Sedge,Vascular Plant
Carex floridana,Florida Sedge,Vascular Plant
Carex folliculata var. australis,None,Vascular Plant
Carex frankii,Frank Sedge,Vascular Plant
Carex gigantea,Giant Sedge,Vascular Plant
Carex glaucescens,"Clustered Sedge, Southern Waxy Sedge",Vascular Plant
Carex granularis,"Limestone Meadow Sedge, Limestone-Meadow Sedge",Vascular Plant
Carex grayi,Asa Gray's Sedge,Vascular Plant
Carex howei,Howe Sedge,Vascular Plant
Carex joorii,Cypress Swamp Sedge,Vascular Plant
Carex leavenworthii,Leavenworth's Sedge,Vascular Plant
Carex lonchocarpa,Southern Long Sedge,Vascular Plant
Carex longii,Long's Sedge,Vascular Plant
Carex louisianica,Louisiana Sedge,Vascular Plant
Carex muehlenbergii,Muhlenberg's Sedge,Vascular Plant
Carex nigromarginata,Black Edge Sedge,Vascular Plant
Carex oxylepis,Sharpscale Sedge,Vascular Plant
Carex peckii,Peck's Sedge,Vascular Plant
Carex retroflexa,Reflexed Sedge,Vascular Plant
Carex rosea,Rosy Sedge,Vascular Plant
Carex seorsa,Weak Stellate Sedge,Vascular Plant
Carex socialis,Low Woodland Sedge,Vascular Plant
Carex squarrosa,Squarrose Sedge,Vascular Plant
Carex striatula,Lined Sedge,Vascular Plant
Carex styloflexa,Bent Sedge,Vascular Plant
Carex texensis,Texas Sedge,Vascular Plant
Carex turgescens,Swollen Sedge,Vascular Plant
Carex typhina,Cat-Tail Sedge,Vascular Plant
Carex venusta,Darkgreen Sedge,Vascular Plant
Cyperus echinatus,Globe Flatsedge,Vascular Plant
Cyperus haspan,Haspan Flatsedge,Vascular Plant
Cyperus lupulinus ssp. lupulinus,Great Plains Flatsedge,Vascular Plant
Cyperus pseudovegetus,Green Flatsedge,Vascular Plant
Cyperus strigosus,Straw-Colored Flatsedge,Vascular Plant
Cyperus virens,Green Flatsedge,Vascular Plant
Eleocharis microcarpa,Smallfruit Spikerush,Vascular Plant
Eleocharis tortilis,Twisted Spikerush,Vascular Plant
Fuirena pumila,"Dwarf Umbrellasedge, Dwarf Umbrella-Sedge",Vascular Plant
Rhynchospora cephalantha,Bunched Beaksedge,Vascular Plant
Rhynchospora chalarocephala,Loosehead Beaksedge,Vascular Plant
Rhynchospora corniculata,Shortbristle Hornedrush,Vascular Plant
Rhynchospora globularis,"Globe Beakrush, Globe Beaksedge",Vascular Plant
Rhynchospora glomerata,Clustered Beaksedge,Vascular Plant
Rhynchospora inexpansa,Nodding Beaksedge,Vascular Plant
Rhynchospora miliacea,Millet Beaksedge,Vascular Plant
Rhynchospora pallida,Pale Beaksedge,Vascular Plant
Rhynchospora recognita,Globe Beaksedge,Vascular Plant
Rhynchospora torreyana,Torrey's Beaksedge,Vascular Plant
Scleria pauciflora,Fewflower Nutrush,Vascular Plant
Scleria triglomerata,Whip Nutrush,Vascular Plant
Juncus biflorus,Grass-Leaved Rush,Vascular Plant
Juncus brachycarpus,Whiteroot Rush,Vascular Plant
Juncus coriaceus,Leathery Rush,Vascular Plant
Juncus elliottii,Elliott's Rush,Vascular Plant
Juncus repens,Lesser Creeping Rush,Vascular Plant
Luzula echinata,Wood Rush,Vascular Plant
Andropogon scoparius,None,Vascular Plant
Aristida purpurascens var. virgata,Arrowfeather Threeawn,Vascular Plant
Aristida stricta,Pineland Three-Awn Grass,Vascular Plant
Arthraxon hispidus var. cryptatherus,None,Vascular Plant
Arundinaria gigantea,Giant Cane,Vascular Plant
Arundinaria gigantea ssp. gigantea,Giant Cane,Vascular Plant
Arundinaria gigantea ssp. tecta,Switchcane,Vascular Plant
Arundinaria tecta,Switch Cane,Vascular Plant
Axonopus fissifolius,"Carpetgrass, Common Carpetgrass, Louisiana Grass, Mat Grass, Narrowleaved Carpetgrass",Vascular Plant
Briza minor,Little Quakinggrass,Vascular Plant
Chasmanthium latifolium,Indian Sea-Oats,Vascular Plant
Chasmanthium laxum,"Slender Woodoats, Spike Uniola",Vascular Plant
Chasmanthium sessiliflorum,"Longleaf Spikegrass, Longleaf Woodoats",Vascular Plant
Cinna arundinacea,"Stout Wood Reed-Grass, Stout Woodreed, Sweet Woodreed, Sweet Wood-Reed",Vascular Plant
Dichanthelium aciculare,Needleleaf Rosette Grass,Vascular Plant
Dichanthelium boscii,Bosc's Witchgrass,Vascular Plant
Dichanthelium dichotomum,Cypress Witchgrass,Vascular Plant
Dichanthelium dichotomum var. dichotomum,Cypress Panicgrass,Vascular Plant
Dichanthelium laxiflorum,Openflower Rosette Grass,Vascular Plant
Dichanthelium sphaerocarpon var. isophyllum,"Roundseed Panicgrass, Roundseed Panicum",Vascular Plant
Echinochloa walteri,"Coast Cockspur, Coast Cockspur Grass, Walter's Barnyard Grass",Vascular Plant
Eragrostis hirsuta,Bigtop Lovegrass,Vascular Plant
Eragrostis refracta,Coastal Lovegrass,Vascular Plant
Hystrix patula,None,Vascular Plant
Leersia hexandra,Club-Head Cutgrass,Vascular Plant
Leersia lenticularis,Catchfly Grass,Vascular Plant
Leersia virginica,Virginia Cutgrass,Vascular Plant
Melica mutica,"Oniongrass, Twoflower Melic, Twoflower Melicgrass",Vascular Plant
Microstegium vimineum,Eulalia,Vascular Plant
Milium effusum,American Milletgrass,Vascular Plant
Panicum,"Panicgrass, Panicum",Vascular Plant
Panicum agrostoides,None,Vascular Plant
Panicum anceps,Panicgrass,Vascular Plant
Panicum dichotomiflorum,Spreading Panicgrass,Vascular Plant
Panicum hemitomon,"Maidencane, Mountain Panic",Vascular Plant
Panicum rigidulum var. pubescens,Redtop Panicgrass,Vascular Plant
Panicum scoparium,None,Vascular Plant
Panicum verrucosum,Warty Panicgrass,Vascular Plant
Paspalum floridanum,Florida Paspalum,Vascular Plant
Paspalum fluitans,Horsetail Paspalum,Vascular Plant
Paspalum laeve,Field Paspalum,Vascular Plant
Paspalum urvillei,"Vasey Grass, Vaseygrass, Vasey's Grass",Vascular Plant
Phanopyrum gymnocarpon,Clustered Panic-Grass,Vascular Plant
Phyllostachys,Bamboo,Vascular Plant
Poa autumnalis,Autumn Bluegrass,Vascular Plant
Saccharum alopecuroidum,Silver Plumegrass,Vascular Plant
Saccharum baldwinii,Narrow Plumegrass,Vascular Plant
Saccharum giganteum,Sugarcane Plumegrass,Vascular Plant
Sacciolepis striata,Gibbous Panic-Grass,Vascular Plant
Setaria,Bristlegrass,Vascular Plant
Xyris caroliniana,Carolina Yelloweyed Grass,Vascular Plant
Asplenium platyneuron,Ebony Spleenwort,Vascular Plant
Woodwardia areolata,"Chainfern, Netted Chainfern",Vascular Plant
Pteridium aquilinum,"Bracken, Bracken Fern, Brackenfern, Northern Bracken Fern, Western Brackenfern",Vascular Plant
Dryopteris ludoviciana,Southern Shield Woodfern,Vascular Plant
Pleopeltis polypodioides ssp. polypodioides,Resurrection Fern,Vascular Plant
Polypodium polypodioides,Resurrection Fern,Vascular Plant
Adiantum pedatum,Northern Maidenhair-Fern,Vascular Plant
Macrothelypteris torresiana,Swordfern,Vascular Plant
Phegopteris hexagonoptera,"Broad Beech Fern, Southern Beech Fern",Vascular Plant
Thelypteris palustris,"Eastern Marsh Fern, Marsh Fern, Meadow Fern",Vascular Plant
Athyrium asplenioides,Southern Lady Fern,Vascular Plant
Athyrium filix-femina,"Common Ladyfern, Ladyfern, Subarctic Ladyfern",Vascular Plant
Athyrium filix-femina ssp. asplenioides,Asplenium Ladyfern,Vascular Plant
Platanus occidentalis,"American Sycamore, Sycamore",Vascular Plant
Podophyllum peltatum,"Indian-Apple, May Apple, Mayapple, Pomme De Mai, Wild-Mandrake",Vascular Plant
Menispermum canadense,"Canadian Moonseed, Common Moonseed",Vascular Plant
Corydalis flavula,Yellow Corydalis,Vascular Plant
Sanguinaria canadensis,Bloodroot,Vascular Plant
Clematis crispa,Blue Jasmine Leather-Flower,Vascular Plant
Clematis viorna,"Leather-Flower Clematis, Vase-Vine Leatherflower",Vascular Plant
Hepatica americana,None,Vascular Plant
Ranunculus hispidus,Bristly Buttercup,Vascular Plant
Ranunculus sardous,Hairy Buttercup,Vascular Plant
Thalictrum thalictroides,Windflower,Vascular Plant
Celtis,Hackberry,Vascular Plant
Celtis laevigata,Sugarberry,Vascular Plant
Elaeagnus umbellata,"Autumn Olive, Oleaster",Vascular Plant
Berchemia scandens,Supplejack/Rattan Vine,Vascular Plant
Ceanothus americanus,"Jersey Tea, New Jersey Tea",Vascular Plant
Crataegus,Hawthorns,Vascular Plant
Crataegus flava,"Yellow Hawthorn, Yellowleaf Hawthorn",Vascular Plant
Crataegus marshallii,Parsley-Leaved Hawthorn,Vascular Plant
Crataegus phaenopyrum,Washington Hawthorn,Vascular Plant
Crataegus spathulata,Littlehip Hawthorn,Vascular Plant
Crataegus viridis,Green Hawthorn,Vascular Plant
Duchesnea indica,Indian Mock-Strawberry,Vascular Plant
Geum laciniatum,Rough Avens,Vascular Plant
Geum virginianum,Pale Avens,Vascular Plant
Malus angustifolia,"Southern Crab Apple, Southern Crabapple",Vascular Plant
Photinia pyrifolia,Red Chokeberry,Vascular Plant
Prunus angustifolia,Chickasaw Plum,Vascular Plant
Prunus serotina var. serotina,Black Cherry,Vascular Plant
Prunus umbellata,"Flatwood Plum, Hog Plum",Vascular Plant
Pyracantha coccinea,Scarlet Firethorn,Vascular Plant
Rubus,"Blackberry, Brambles",Vascular Plant
Rubus argutus,"Prickly Florida Blackberry, Sawtooth Blackberry",Vascular Plant
Rubus cuneifolius,Sand Blackberry,Vascular Plant
Planera aquatica,"Planertree, Water Elm, Water-Elm",Vascular Plant
Ulmus alata,Winged Elm,Vascular Plant
Laportea canadensis,Wood Nettle,Vascular Plant
Pilea pumila,"Canada Clearweed, Canadian Clearweed",Vascular Plant
Urtica chamaedryoides,Weaknettle,Vascular Plant
Azolla caroliniana,Carolina Mosquitofern,Vascular Plant
Melia azedarach,China Berry,Vascular Plant
Poncirus trifoliata,Hardy Orange,Vascular Plant
Acer rubrum var. trilobum,Red Maple,Vascular Plant
Aesculus pavia,Red Buckeye,Vascular Plant
Aesculus sylvatica,Painted Buckeye,Vascular Plant
Liquidambar styraciflua,Sweetgum,Vascular Plant
Itea virginica,Virginia Willow,Vascular Plant
Penthorum sedoides,"Ditch Stonecrop, Virginia Penthorum",Vascular Plant
Heuchera americana,"Alumroot, American Alumroot",Vascular Plant
Lygodium japonicum,Japanese Climbing Fern,Vascular Plant
Selaginella apoda,Meadow Spikemoss,Vascular Plant
Cuscuta,Dodder,Vascular Plant
Cuscuta compacta,Sessile Dodder,Vascular Plant
Ipomoea coccinea,"Mexican Morningglory, Red Morningglory, Redstar, Scarlet Morningglory, Starglory, Woolly Tidestromia",Vascular Plant
Ipomoea lacunosa,Small-Flower White Morningglory,Vascular Plant
Ipomoea nil,"Whiteedge Morningglory, Whiteedge Morning-Glory",Vascular Plant
Ipomoea pandurata,"Bigroot Morningglory, Man Of The Earth, Man-Of-The-Earth",Vascular Plant
Jacquemontia tamnifolia,Hairy Cluster-Vine,Vascular Plant
Stylisma humistrata,Southern Dawnflower,Vascular Plant
Solanum,Nightshade,Vascular Plant
Solanum carolinense,Horse Nettle,Vascular Plant
Solanum pseudocapsicum,Jerusalem Cherry,Vascular Plant
Sphenoclea zeylanica,Chickenspike,Vascular Plant
Ampelopsis arborea,Pepper-Vine,Vascular Plant
Ampelopsis cordata,Heartleaf Peppervine,Vascular Plant
Vitis,Grape,Vascular Plant
Vitis aestivalis,Summer Grape,Vascular Plant
Vitis aestivalis var. aestivalis,Summer Grape,Vascular Plant
Vitis cinerea var. floridana,Florida Grape,Vascular Plant
Orthotrichaceae,None,Nonvascular Plant
Frullania eboracensis,None,Nonvascular Plant
Porella pinnata,None,Nonvascular Plant
Scenedesmus acuminatus,None,Nonvascular Plant
Scenedesmus quadricauda,None,Nonvascular Plant
